Pregões Vol.,Volatilidade,Diferença Média,Diferença Mín.,Diferença Máx.,Desvio Padrão,Dias
30,22.5%,-23.32%,-30.85%,-16.97%,3.68%,23
60,23.5%,-23.42%,-31.01%,-16.95%,3.79%,23
120,27.2%,-24.24%,-32.84%,-17.49%,4.34%,23
252,23.8%,-23.47%,-30.93%,-16.99%,3.83%,23
