Pregões Vol.,Volatilidade,Diferença Média,Diferença Mín.,Diferença Máx.,Desvio Padrão,Dias
30,24.6%,141680165315733662861821293840948002816.00%,93.49%,3258643802261874453606015004606193467392.00%,679474203049352855664505053041649516544.00%,23
60,22.4%,2119328059786131501918279807784714240.00%,223.12%,48744545375081025724712056296459730944.00%,10163940317363513996846057730892365824.00%,23
120,26.0%,1639211766735958077415096320.00%,46.70%,37701870634926335391640322048.00%,7861383464297290866091884544.00%,23
252,23.5%,97411034722486232688509121969782784.00%,143.23%,2240453798617183351835709805305004032.00%,467166911040609419908281525386346496.00%,23
