Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
15/08/2025	-17,46%	-0,44	2,08	2,07	2,07	2,08	830	2
14/08/2025	-12,20%	-0,35	2,52	2,42	2,42	2,66	21K	7
13/08/2025	-5,59%	-0,17	2,87	2,91	2,78	3,01	32K	36
12/08/2025	-2,88%	-0,09	3,04	3,53	3,04	3,54	33K	77
11/08/2025	-0,63%	-0,02	3,13	3,26	3,00	3,26	162K	9
08/08/2025	-36,62%	-1,82	3,15	4,20	3,15	4,20	224K	237
07/08/2025	-4,42%	-0,23	4,97	5,07	4,97	5,17	53K	9
06/08/2025	10,64%	0,50	5,20	5,20	5,20	5,20	1K	1
05/08/2025	3,75%	0,17	4,70	4,70	4,70	4,70	5K	1
04/08/2025	-1,52%	-0,07	4,53	4,62	4,53	4,62	20K	2
01/08/2025	-8,91%	-0,45	4,60	4,56	4,56	4,60	31K	2
30/07/2025	0,80%	0,04	5,05	4,90	4,90	5,05	7K	2
29/07/2025	11,33%	0,51	5,01	4,63	4,62	5,04	68K	134
28/07/2025	-1,53%	-0,07	4,50	4,92	4,38	4,92	41K	8
25/07/2025	5,06%	0,22	4,57	4,65	4,48	4,65	73K	82
24/07/2025	0,00%	0,00	4,35	4,35	4,35	4,35	4K	1
23/07/2025	12,11%	0,47	4,35	4,03	4,03	4,35	41K	2
22/07/2025	1,57%	0,06	3,88	3,88	3,88	3,88	10K	1
21/07/2025	12,02%	0,41	3,82	3,82	3,82	3,82	4K	1
18/07/2025	-18,23%	-0,76	3,41	3,99	3,41	4,17	81K	5
17/07/2025	-6,50%	-0,29	4,17	4,30	4,07	4,30	100K	20
16/07/2025	-5,51%	-0,26	4,46	4,22	4,22	4,46	28K	3
15/07/2025	-9,06%	-0,47	4,72	4,61	4,56	4,72	153K	8
11/07/2025	4,01%	0,20	5,19	5,19	5,19	5,19	2K	1
10/07/2025	0,60%	0,03	4,99	4,96	4,96	4,99	3K	2
09/07/2025	0,61%	0,03	4,96	4,88	4,88	4,96	42K	3
07/07/2025	0,00%	0,00	4,93	4,93	4,93	4,93	493	1
04/07/2025	-2,76%	-0,14	4,93	4,91	4,91	4,94	336K	5
03/07/2025	19,01%	0,81	5,07	5,07	5,07	5,07	5K	1
01/07/2025	-3,18%	-0,14	4,26	4,26	4,26	4,26	1K	1
25/06/2025	-25,80%	-1,53	4,40	4,40	4,40	4,40	11K	1
23/06/2025	98,99%	2,95	5,93	5,93	5,93	5,93	9K	1
09/06/2025	-25,87%	-1,04	2,98	3,00	2,98	3,00	1K	2
09/05/2025	-	-	4,02	4,02	4,02	4,02	2K	1
