Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
16/05/2025	2,76%	0,10	3,72	3,55	3,55	3,72	2K	3
15/05/2025	-0,55%	-0,02	3,62	3,50	3,45	3,65	44K	7
14/05/2025	-7,61%	-0,30	3,64	3,80	3,49	3,85	98K	42
13/05/2025	5,35%	0,20	3,94	3,72	3,25	3,94	132K	39
12/05/2025	35,02%	0,97	3,74	3,79	3,60	3,92	593K	51
09/05/2025	3,36%	0,09	2,77	3,00	2,77	3,00	147K	5
08/05/2025	34,00%	0,68	2,68	2,61	2,53	2,85	376K	79
07/05/2025	-8,26%	-0,18	2,00	2,20	2,00	2,20	6K	4
06/05/2025	14,74%	0,28	2,18	2,13	2,13	2,25	12K	14
05/05/2025	-28,57%	-0,76	1,90	2,51	1,90	2,56	35K	16
02/05/2025	16,67%	0,38	2,66	2,40	2,20	2,66	18K	11
30/04/2025	-17,69%	-0,49	2,28	2,51	2,28	2,54	37K	22
29/04/2025	5,32%	0,14	2,77	2,82	2,77	2,82	6K	22
28/04/2025	-5,40%	-0,15	2,63	2,77	2,56	2,86	80K	47
25/04/2025	1,46%	0,04	2,78	2,72	2,65	2,93	70K	121
24/04/2025	-14,64%	-0,47	2,74	2,71	2,57	2,75	37K	10
23/04/2025	-0,62%	-0,02	3,21	3,49	3,05	3,59	60K	24
22/04/2025	2,54%	0,08	3,23	2,82	2,82	3,43	180K	33
17/04/2025	14,96%	0,41	3,15	3,00	2,95	3,48	331K	35
16/04/2025	-6,80%	-0,20	2,74	3,00	2,69	3,05	507K	51
15/04/2025	-19,23%	-0,70	2,94	3,42	2,94	3,42	29K	5
14/04/2025	-6,91%	-0,27	3,64	3,50	3,50	3,67	17K	7
11/04/2025	13,33%	0,46	3,91	3,45	3,10	3,96	238K	24
10/04/2025	-32,09%	-1,63	3,45	4,00	3,45	4,00	68K	105
09/04/2025	7,17%	0,34	5,08	3,64	3,64	5,09	116K	23
08/04/2025	-6,51%	-0,33	4,74	5,05	4,74	5,05	21K	8
07/04/2025	-14,07%	-0,83	5,07	5,20	5,07	5,30	131K	5
04/04/2025	-34,44%	-3,10	5,90	5,77	5,52	5,90	147K	6
01/04/2025	-0,22%	-0,02	9,00	8,92	8,92	9,00	52K	4
31/03/2025	-1,85%	-0,17	9,02	8,71	8,70	9,02	3K	3
27/03/2025	6,61%	0,57	9,19	9,19	9,19	9,19	129K	1
25/03/2025	-	-	8,62	8,62	8,62	8,62	121K	1
