Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
16/05/2025	1,26%	0,03	2,42	2,40	2,08	2,46	100K	24
15/05/2025	-4,78%	-0,12	2,39	2,20	2,18	2,48	1M	93
14/05/2025	-6,69%	-0,18	2,51	2,52	2,28	2,55	222K	48
13/05/2025	9,35%	0,23	2,69	2,64	2,05	2,80	512K	114
12/05/2025	40,57%	0,71	2,46	2,05	2,05	2,75	1M	839
09/05/2025	12,18%	0,19	1,75	1,82	1,50	1,82	97K	33
08/05/2025	27,87%	0,34	1,56	1,26	1,26	1,77	2M	1.071
07/05/2025	4,27%	0,05	1,22	1,17	1,02	1,22	1M	907
06/05/2025	17,00%	0,17	1,17	1,21	1,11	1,36	863K	1.230
05/05/2025	-42,53%	-0,74	1,00	1,57	0,97	1,57	1M	1.579
02/05/2025	35,94%	0,46	1,74	1,40	1,23	1,75	336K	1.079
30/04/2025	-22,42%	-0,37	1,28	1,48	1,24	1,57	448K	818
29/04/2025	1,23%	0,02	1,65	1,55	1,45	1,85	295K	720
28/04/2025	-8,43%	-0,15	1,63	1,76	1,55	1,90	204K	326
25/04/2025	-3,26%	-0,06	1,78	1,82	1,71	1,96	220K	394
24/04/2025	-3,16%	-0,06	1,84	2,00	1,62	2,00	607K	503
23/04/2025	-14,41%	-0,32	1,90	2,40	1,90	2,80	165K	59
22/04/2025	2,78%	0,06	2,22	1,90	1,80	2,35	329K	85
17/04/2025	20,00%	0,36	2,16	2,10	1,98	2,41	369K	143
16/04/2025	-6,74%	-0,13	1,80	2,18	1,75	2,18	603K	134
15/04/2025	-23,72%	-0,60	1,93	2,40	1,93	2,46	495K	91
14/04/2025	-12,76%	-0,37	2,53	2,97	2,47	2,97	125K	41
11/04/2025	16,00%	0,40	2,90	2,55	2,22	3,03	368K	58
10/04/2025	-37,19%	-1,48	2,50	3,07	2,50	3,15	409K	70
09/04/2025	17,06%	0,58	3,98	2,55	2,55	4,06	579K	164
08/04/2025	-14,79%	-0,59	3,40	3,79	3,35	3,79	33K	9
07/04/2025	-16,53%	-0,79	3,99	4,33	3,99	4,33	72K	50
04/04/2025	-25,31%	-1,62	4,78	5,00	4,37	5,00	29K	8
03/04/2025	-13,16%	-0,97	6,40	6,53	6,40	6,53	3K	2
02/04/2025	-7,53%	-0,60	7,37	7,40	7,37	7,40	8K	3
01/04/2025	4,18%	0,32	7,97	7,77	7,77	7,97	25K	2
31/03/2025	-2,55%	-0,20	7,65	7,77	7,65	7,85	214K	5
28/03/2025	-1,88%	-0,15	7,85	7,85	7,85	7,85	12K	1
27/03/2025	2,17%	0,17	8,00	8,00	8,00	8,00	800	1
26/03/2025	3,03%	0,23	7,83	7,83	7,83	7,83	783	1
25/03/2025	7,50%	0,53	7,60	7,40	7,40	7,80	15K	4
24/03/2025	1,00%	0,07	7,07	7,19	7,06	7,26	86K	7
21/03/2025	7,86%	0,51	7,00	7,02	7,00	7,02	3K	2
19/03/2025	-3,99%	-0,27	6,49	6,49	6,49	6,49	3K	1
17/03/2025	-	-	6,76	6,55	6,55	6,76	159K	2
