Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
19/09/2025	-96,43%	-0,27	0,01	0,39	0,01	0,39	370K	1.455
18/09/2025	-44,00%	-0,22	0,28	0,54	0,18	0,59	2M	5.299
17/09/2025	2,04%	0,01	0,50	0,45	0,40	0,62	2M	2.205
16/09/2025	13,95%	0,06	0,49	0,52	0,34	0,57	2M	1.865
15/09/2025	10,26%	0,04	0,43	0,41	0,28	0,50	2M	1.973
12/09/2025	-22,00%	-0,11	0,39	0,56	0,36	0,70	3M	1.465
11/09/2025	-21,88%	-0,14	0,50	0,58	0,48	0,59	935K	1.242
10/09/2025	82,86%	0,29	0,64	0,41	0,33	0,65	3M	5.158
09/09/2025	20,69%	0,06	0,35	0,33	0,33	0,45	2M	1.788
08/09/2025	3,57%	0,01	0,29	0,34	0,26	0,44	1M	872
05/09/2025	-48,15%	-0,26	0,28	0,52	0,25	0,53	3M	1.574
04/09/2025	-5,26%	-0,03	0,54	0,57	0,50	0,67	2M	1.096
03/09/2025	-24,00%	-0,18	0,57	0,62	0,53	0,76	3M	1.684
02/09/2025	15,38%	0,10	0,75	0,64	0,60	0,82	2M	1.376
01/09/2025	-1,52%	-0,01	0,65	0,66	0,62	0,77	2M	1.320
29/08/2025	4,76%	0,03	0,66	0,61	0,55	0,78	2M	1.164
28/08/2025	23,53%	0,12	0,63	0,55	0,54	0,70	2M	1.170
27/08/2025	15,91%	0,07	0,51	0,44	0,42	0,52	1M	716
26/08/2025	-15,38%	-0,08	0,44	0,51	0,38	0,52	390K	475
25/08/2025	6,12%	0,03	0,52	0,49	0,48	0,61	842K	1.249
22/08/2025	81,48%	0,22	0,49	0,29	0,29	0,53	1M	741
21/08/2025	-3,57%	-0,01	0,27	0,28	0,25	0,32	488K	344
20/08/2025	0,00%	0,00	0,28	0,28	0,27	0,33	432K	299
19/08/2025	-17,65%	-0,06	0,28	0,33	0,26	0,33	709K	476
18/08/2025	-2,86%	-0,01	0,34	0,35	0,31	0,42	549K	386
15/08/2025	-10,26%	-0,04	0,35	0,38	0,30	0,38	1M	592
14/08/2025	-27,78%	-0,15	0,39	0,54	0,39	0,54	701K	398
13/08/2025	-27,03%	-0,20	0,54	0,74	0,51	0,74	891K	586
12/08/2025	12,12%	0,08	0,74	0,81	0,60	0,87	788K	471
11/08/2025	-9,59%	-0,07	0,66	0,75	0,66	0,88	560K	317
08/08/2025	-60,11%	-1,10	0,73	1,24	0,73	1,37	1M	682
07/08/2025	5,17%	0,09	1,83	1,81	1,81	2,04	179K	97
06/08/2025	3,57%	0,06	1,74	1,90	1,65	2,06	476K	105
05/08/2025	5,00%	0,08	1,68	1,54	1,54	1,71	164K	62
04/08/2025	-3,61%	-0,06	1,60	1,61	1,54	1,67	95K	40
01/08/2025	-10,75%	-0,20	1,66	2,15	1,64	2,16	443K	70
31/07/2025	-11,85%	-0,25	1,86	1,87	1,86	2,06	181K	30
30/07/2025	11,05%	0,21	2,11	1,91	1,80	2,13	210K	60
29/07/2025	20,25%	0,32	1,90	1,68	1,68	1,95	236K	36
28/07/2025	-1,86%	-0,03	1,58	1,80	1,50	1,81	83K	35
25/07/2025	3,21%	0,05	1,61	1,67	1,57	1,69	234K	54
24/07/2025	-6,02%	-0,10	1,56	1,48	1,46	1,63	224K	70
23/07/2025	30,71%	0,39	1,66	1,27	1,27	1,68	291K	151
22/07/2025	13,39%	0,15	1,27	1,25	1,23	1,42	164K	47
21/07/2025	-3,45%	-0,04	1,12	1,40	1,07	1,51	124K	155
18/07/2025	-17,14%	-0,24	1,16	1,32	1,00	1,46	51K	32
17/07/2025	-15,66%	-0,26	1,40	1,51	1,39	1,60	46K	24
16/07/2025	-5,68%	-0,10	1,66	1,58	1,49	1,66	41K	16
15/07/2025	-12,87%	-0,26	1,76	1,85	1,71	1,90	12K	13
14/07/2025	-10,62%	-0,24	2,02	2,29	1,81	2,32	163K	100
11/07/2025	8,65%	0,18	2,26	2,19	2,01	2,32	96K	11
10/07/2025	1,96%	0,04	2,08	1,80	1,80	2,08	6K	4
09/07/2025	-10,13%	-0,23	2,04	2,05	2,04	2,05	4K	2
08/07/2025	12,94%	0,26	2,27	2,10	2,10	2,28	6K	3
07/07/2025	-6,07%	-0,13	2,01	2,10	1,99	2,10	17K	7
04/07/2025	-5,73%	-0,13	2,14	2,15	2,14	2,15	22K	2
03/07/2025	9,13%	0,19	2,27	2,08	2,08	2,27	3K	7
02/07/2025	14,92%	0,27	2,08	1,91	1,91	2,08	23K	13
