Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
16/05/2025	-3,16%	-0,13	3,99	4,20	3,99	4,20	173K	3
15/05/2025	-1,67%	-0,07	4,12	3,90	3,90	4,28	101K	11
14/05/2025	-3,68%	-0,16	4,19	4,09	4,09	4,19	14K	4
13/05/2025	2,11%	0,09	4,35	3,84	3,71	4,35	63K	7
12/05/2025	30,28%	0,99	4,26	4,28	4,16	4,43	288K	463
09/05/2025	-0,61%	-0,02	3,27	3,25	3,25	3,27	16K	3
08/05/2025	30,04%	0,76	3,29	3,08	3,00	3,29	15K	28
07/05/2025	-4,53%	-0,12	2,53	2,65	2,53	2,65	17K	8
06/05/2025	12,77%	0,30	2,65	2,68	2,59	2,69	21K	11
05/05/2025	-27,02%	-0,87	2,35	2,79	2,32	2,79	17K	11
02/05/2025	21,05%	0,56	3,22	2,89	2,65	3,22	43K	13
30/04/2025	-15,02%	-0,47	2,66	3,01	2,63	3,01	26K	11
29/04/2025	1,62%	0,05	3,13	3,02	2,85	3,26	32K	12
28/04/2025	-5,23%	-0,17	3,08	3,08	2,95	3,08	43K	9
25/04/2025	-0,31%	-0,01	3,25	3,27	3,16	3,37	23K	14
24/04/2025	-6,05%	-0,21	3,26	3,13	3,01	3,27	1M	498
23/04/2025	-1,98%	-0,07	3,47	3,75	3,46	4,30	114K	30
22/04/2025	-1,39%	-0,05	3,54	3,59	3,36	3,59	30K	6
17/04/2025	13,61%	0,43	3,59	3,38	3,38	3,83	1M	49
16/04/2025	-4,82%	-0,16	3,16	3,34	3,11	3,48	227K	25
15/04/2025	-15,31%	-0,60	3,32	3,70	3,28	3,70	50K	12
14/04/2025	-8,84%	-0,38	3,92	4,08	3,90	4,13	254K	15
11/04/2025	11,98%	0,46	4,30	3,67	3,46	4,51	341K	20
10/04/2025	-29,80%	-1,63	3,84	3,92	3,84	3,92	23K	2
09/04/2025	24,60%	1,08	5,47	4,21	3,98	5,47	13K	14
08/04/2025	-22,02%	-1,24	4,39	5,16	4,39	5,17	34K	9
07/04/2025	-7,25%	-0,44	5,63	5,67	5,63	5,67	31K	2
04/04/2025	-33,73%	-3,09	6,07	6,05	6,05	6,07	2K	2
02/04/2025	-1,51%	-0,14	9,16	9,16	9,16	9,16	92K	1
31/03/2025	-2,41%	-0,23	9,30	9,51	9,30	9,51	194K	3
26/03/2025	6,48%	0,58	9,53	9,51	9,51	9,53	236K	3
24/03/2025	8,09%	0,67	8,95	8,86	8,86	8,95	6K	2
18/03/2025	-	-	8,28	8,28	8,28	8,28	205K	13
