Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
19/09/2025	-7,69%	-0,30	3,60	3,70	3,58	3,70	286K	133
18/09/2025	-7,80%	-0,33	3,90	4,10	3,78	4,10	2M	412
17/09/2025	2,17%	0,09	4,23	4,26	4,10	4,27	313K	52
16/09/2025	2,73%	0,11	4,14	4,12	4,05	4,14	103K	40
15/09/2025	2,03%	0,08	4,03	3,80	3,72	4,10	378K	21
12/09/2025	0,51%	0,02	3,95	4,25	3,95	4,25	10K	5
11/09/2025	-5,07%	-0,21	3,93	4,02	3,93	4,02	57K	3
10/09/2025	13,42%	0,49	4,14	3,92	3,80	4,20	113K	139
09/09/2025	8,31%	0,28	3,65	3,66	3,65	3,82	125K	190
08/09/2025	3,69%	0,12	3,37	3,57	3,33	3,57	30K	7
05/09/2025	-17,51%	-0,69	3,25	3,65	3,11	3,65	45K	7
04/09/2025	4,79%	0,18	3,94	3,75	3,75	3,94	15K	4
03/09/2025	-4,08%	-0,16	3,76	3,85	3,76	3,86	5K	4
02/09/2025	-0,25%	-0,01	3,92	4,06	3,91	4,06	26K	15
01/09/2025	-2,96%	-0,12	3,93	3,94	3,93	3,94	6K	2
29/08/2025	6,58%	0,25	4,05	3,94	3,93	4,09	54K	16
28/08/2025	10,14%	0,35	3,80	3,72	3,65	3,82	18K	9
27/08/2025	5,83%	0,19	3,45	3,46	3,40	3,46	47K	9
26/08/2025	-8,94%	-0,32	3,26	3,35	3,20	3,39	130K	16
25/08/2025	9,82%	0,32	3,58	3,44	3,44	3,61	12K	8
22/08/2025	19,85%	0,54	3,26	2,87	2,87	3,31	31K	90
21/08/2025	4,21%	0,11	2,72	2,55	2,51	2,80	167K	32
20/08/2025	5,24%	0,13	2,61	2,63	2,60	2,74	96K	66
19/08/2025	-10,47%	-0,29	2,48	2,57	2,43	2,57	32K	33
18/08/2025	4,53%	0,12	2,77	2,62	2,62	2,97	191K	10
15/08/2025	-6,36%	-0,18	2,65	2,71	2,48	2,73	616K	132
14/08/2025	-6,91%	-0,21	2,83	2,88	2,64	2,91	608K	201
13/08/2025	-11,11%	-0,38	3,04	3,35	3,01	3,35	86K	18
12/08/2025	0,59%	0,02	3,42	3,53	3,42	3,73	280K	49
11/08/2025	3,98%	0,13	3,40	3,55	3,23	3,55	230K	65
08/08/2025	-37,12%	-1,93	3,27	4,28	3,27	4,28	340K	27
07/08/2025	6,78%	0,33	5,20	5,25	5,10	5,31	77K	24
06/08/2025	0,83%	0,04	4,87	5,08	4,85	5,41	106K	23
05/08/2025	3,65%	0,17	4,83	4,75	4,75	4,83	41K	3
04/08/2025	-1,48%	-0,07	4,66	4,63	4,63	4,70	56K	5
01/08/2025	-8,51%	-0,44	4,73	4,73	4,73	4,73	2K	1
31/07/2025	0,78%	0,04	5,17	5,20	5,17	5,20	151K	5
30/07/2025	0,20%	0,01	5,13	4,97	4,95	5,17	47K	29
29/07/2025	11,55%	0,53	5,12	4,94	4,94	5,15	65K	14
28/07/2025	-1,50%	-0,07	4,59	4,91	4,59	4,91	39K	3
25/07/2025	5,67%	0,25	4,66	4,75	4,65	4,75	47K	23
24/07/2025	-4,13%	-0,19	4,41	4,45	4,41	4,53	55K	3
23/07/2025	13,30%	0,54	4,60	4,07	4,07	4,62	317K	78
22/07/2025	7,41%	0,28	4,06	3,80	3,80	4,25	171K	57
21/07/2025	5,59%	0,20	3,78	3,91	3,78	3,99	73K	11
18/07/2025	-18,26%	-0,80	3,58	4,18	3,58	4,19	40K	15
17/07/2025	0,46%	0,02	4,38	4,38	4,38	4,38	7K	1
16/07/2025	-10,66%	-0,52	4,36	4,36	4,36	4,36	39K	1
07/07/2025	17,59%	0,73	4,88	4,85	4,85	4,88	17K	2
26/05/2025	-	-	4,15	4,15	4,15	4,15	415	1
