Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
16/05/2025	2,20%	0,02	0,93	0,94	0,67	1,14	681K	851
15/05/2025	-14,15%	-0,15	0,91	0,80	0,73	1,11	1M	1.900
14/05/2025	-17,19%	-0,22	1,06	1,02	0,84	1,19	1M	3.051
13/05/2025	7,56%	0,09	1,28	1,35	0,68	1,35	1M	2.785
12/05/2025	77,61%	0,52	1,19	0,90	0,90	1,46	4M	5.559
09/05/2025	28,85%	0,15	0,67	0,69	0,55	0,74	2M	2.010
08/05/2025	30,00%	0,12	0,52	0,47	0,44	0,69	3M	2.437
07/05/2025	0,00%	0,00	0,40	0,42	0,32	0,42	1M	703
06/05/2025	17,65%	0,06	0,40	0,40	0,37	0,49	2M	1.434
05/05/2025	-53,42%	-0,39	0,34	0,54	0,32	0,75	3M	3.205
02/05/2025	48,98%	0,24	0,73	0,58	0,46	0,73	2M	1.019
30/04/2025	-28,99%	-0,20	0,49	0,66	0,48	0,67	2M	1.484
29/04/2025	-4,17%	-0,03	0,69	0,63	0,60	0,85	2M	1.276
28/04/2025	-18,18%	-0,16	0,72	0,85	0,68	0,95	1M	853
25/04/2025	-1,12%	-0,01	0,88	0,81	0,80	0,98	1M	755
24/04/2025	-12,75%	-0,13	0,89	1,21	0,79	1,21	3M	1.176
23/04/2025	-11,30%	-0,13	1,02	1,35	0,97	1,61	2M	670
22/04/2025	-5,74%	-0,07	1,15	1,17	0,92	1,29	1M	454
17/04/2025	41,86%	0,36	1,22	1,08	1,00	1,36	1M	682
16/04/2025	-18,87%	-0,20	0,86	1,10	0,86	1,12	707K	352
15/04/2025	-34,16%	-0,55	1,06	1,44	1,00	1,48	615K	318
14/04/2025	-13,44%	-0,25	1,61	1,98	1,42	2,29	939K	423
11/04/2025	14,11%	0,23	1,86	1,69	1,33	2,07	707K	304
10/04/2025	-38,49%	-1,02	1,63	2,50	1,57	2,50	1M	434
09/04/2025	23,26%	0,50	2,65	1,80	1,55	2,83	2M	599
08/04/2025	-24,56%	-0,70	2,15	3,09	1,92	3,09	324K	485
07/04/2025	-20,83%	-0,75	2,85	2,97	1,99	3,70	222K	47
04/04/2025	-28,14%	-1,41	3,60	3,46	3,12	3,60	388K	95
03/04/2025	-15,37%	-0,91	5,01	4,81	4,81	5,01	64K	8
02/04/2025	-7,36%	-0,47	5,92	5,92	5,92	5,92	32K	1
01/04/2025	4,41%	0,27	6,39	6,39	6,39	6,39	11K	1
31/03/2025	-3,01%	-0,19	6,12	6,13	6,12	6,13	37K	7
28/03/2025	-4,25%	-0,28	6,31	6,31	6,31	6,31	38K	1
27/03/2025	8,39%	0,51	6,59	6,79	6,59	6,79	71K	2
25/03/2025	7,61%	0,43	6,08	6,00	6,00	6,08	68K	2
24/03/2025	-	-	5,65	5,65	5,65	5,65	3K	1
