Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
15/08/2025	0,00%	0,00	0,01	0,01	0,01	0,01	36	5
14/08/2025	0,00%	0,00	0,01	0,01	0,01	0,01	10K	254
13/08/2025	-50,00%	-0,01	0,01	0,01	0,01	0,02	18K	96
12/08/2025	100,00%	0,01	0,02	0,02	0,01	0,03	21K	1.939
11/08/2025	-83,33%	-0,05	0,01	0,05	0,01	0,05	61K	624
08/08/2025	-86,36%	-0,38	0,06	0,35	0,05	0,35	954K	3.912
07/08/2025	12,82%	0,05	0,44	0,44	0,42	0,59	2M	1.974
06/08/2025	18,18%	0,06	0,39	0,43	0,35	0,62	3M	2.254
05/08/2025	-2,94%	-0,01	0,33	0,31	0,30	0,39	859K	594
04/08/2025	-17,07%	-0,07	0,34	0,39	0,28	0,41	594K	505
01/08/2025	-28,07%	-0,16	0,41	0,60	0,39	0,69	2M	1.522
31/07/2025	-16,18%	-0,11	0,57	0,60	0,48	0,62	1M	987
30/07/2025	15,25%	0,09	0,68	0,52	0,48	0,68	3M	1.660
29/07/2025	37,21%	0,16	0,59	0,47	0,43	0,63	2M	5.550
28/07/2025	4,88%	0,02	0,43	0,44	0,37	0,57	2M	1.034
25/07/2025	-4,65%	-0,02	0,41	0,45	0,41	0,49	1M	650
24/07/2025	-8,51%	-0,04	0,43	0,45	0,37	0,49	1M	838
23/07/2025	67,86%	0,19	0,47	0,29	0,28	0,48	1M	723
22/07/2025	12,00%	0,03	0,28	0,25	0,24	0,37	619K	399
21/07/2025	-16,67%	-0,05	0,25	0,22	0,22	0,32	291K	211
18/07/2025	-23,08%	-0,09	0,30	0,36	0,22	0,40	728K	561
17/07/2025	-22,00%	-0,11	0,39	0,45	0,36	0,48	984K	833
16/07/2025	-19,35%	-0,12	0,50	0,56	0,44	0,57	664K	366
15/07/2025	-18,42%	-0,14	0,62	0,76	0,59	0,76	237K	223
14/07/2025	-20,83%	-0,20	0,76	1,00	0,72	1,01	875K	284
11/07/2025	17,07%	0,14	0,96	0,80	0,80	1,01	361K	165
10/07/2025	1,23%	0,01	0,82	0,63	0,63	0,90	434K	251
09/07/2025	-12,90%	-0,12	0,81	0,93	0,74	0,94	190K	119
08/07/2025	19,23%	0,15	0,93	0,78	0,78	1,01	280K	127
07/07/2025	-7,14%	-0,06	0,78	0,85	0,74	0,88	187K	119
04/07/2025	-8,70%	-0,08	0,84	0,88	0,84	0,94	71K	40
03/07/2025	1,10%	0,01	0,92	0,87	0,85	1,03	271K	88
02/07/2025	31,88%	0,22	0,91	0,77	0,71	0,96	728K	428
01/07/2025	-4,17%	-0,03	0,69	0,69	0,65	0,74	194K	140
27/06/2025	-11,11%	-0,09	0,72	0,77	0,71	0,77	197K	61
26/06/2025	5,19%	0,04	0,81	0,79	0,78	0,85	163K	65
25/06/2025	-10,47%	-0,09	0,77	0,80	0,76	0,88	245K	79
24/06/2025	-27,12%	-0,32	0,86	0,80	0,80	1,03	350K	129
23/06/2025	-33,33%	-0,59	1,18	1,99	1,18	2,01	298K	132
20/06/2025	2,31%	0,04	1,77	1,70	1,56	1,84	322K	64
18/06/2025	-5,98%	-0,11	1,73	1,87	1,62	1,93	163K	107
17/06/2025	30,50%	0,43	1,84	1,59	1,59	1,89	156K	41
16/06/2025	-19,43%	-0,34	1,41	1,70	1,31	1,80	281K	39
13/06/2025	40,00%	0,50	1,75	1,35	1,33	2,00	58K	34
12/06/2025	35,87%	0,33	1,25	0,80	0,80	1,25	13K	22
11/06/2025	64,29%	0,36	0,92	0,69	0,65	0,92	2K	11
10/06/2025	36,59%	0,15	0,56	0,57	0,48	0,58	2K	8
09/06/2025	-30,51%	-0,18	0,41	0,38	0,35	0,41	188	5
06/06/2025	31,11%	0,14	0,59	0,51	0,51	0,59	1K	7
05/06/2025	-8,16%	-0,04	0,45	0,45	0,45	0,45	3K	6
04/06/2025	-2,00%	-0,01	0,49	0,50	0,49	0,50	740	3
03/06/2025	-32,43%	-0,24	0,50	0,55	0,50	0,55	730	2
29/05/2025	-12,94%	-0,11	0,74	0,74	0,74	0,74	74	1
27/05/2025	4,94%	0,04	0,85	1,01	0,68	1,01	2K	12
26/05/2025	-8,99%	-0,08	0,81	0,89	0,65	0,89	1K	8
23/05/2025	0,00%	0,00	0,89	0,89	0,89	0,89	356	2
22/05/2025	-28,80%	-0,36	0,89	0,89	0,89	0,89	356	1
16/05/2025	9,65%	0,11	1,25	1,25	1,25	1,25	250	1
13/05/2025	-15,56%	-0,21	1,14	1,10	1,10	1,14	2K	3
12/05/2025	73,08%	0,57	1,35	1,33	1,33	1,35	536	2
07/05/2025	-18,75%	-0,18	0,78	0,78	0,78	0,78	10K	1
29/04/2025	-32,87%	-0,47	0,96	1,05	0,96	1,05	1K	2
28/04/2025	15,32%	0,19	1,43	1,45	1,43	1,45	15K	14
25/04/2025	-3,12%	-0,04	1,24	1,24	1,24	1,24	248	1
23/04/2025	-2,29%	-0,03	1,28	1,28	1,28	1,28	8K	1
22/04/2025	-6,43%	-0,09	1,31	1,40	1,31	1,40	406	3
17/04/2025	-4,11%	-0,06	1,40	1,40	1,40	1,40	8K	1
15/04/2025	-10,43%	-0,17	1,46	1,50	1,46	1,50	2K	2
14/04/2025	1,88%	0,03	1,63	1,63	1,63	1,63	326	2
10/04/2025	-	-	1,60	1,60	1,60	1,60	320	1
