Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
14/08/2025	0,00%	0,00	0,01	0,01	0,01	0,01	10	1
13/08/2025	0,00%	0,00	0,01	0,01	0,01	0,01	536	2
12/08/2025	0,00%	0,00	0,01	0,01	0,01	0,01	138	2
11/08/2025	0,00%	0,00	0,01	0,01	0,01	0,01	30	1
08/08/2025	-66,67%	-0,02	0,01	0,02	0,01	0,02	4K	63
07/08/2025	0,00%	0,00	0,03	0,04	0,03	0,04	12K	52
06/08/2025	50,00%	0,01	0,03	0,03	0,03	0,04	3K	45
05/08/2025	0,00%	0,00	0,02	0,02	0,02	0,03	570	3
04/08/2025	-50,00%	-0,02	0,02	0,03	0,02	0,03	5K	16
01/08/2025	0,00%	0,00	0,04	0,04	0,03	0,05	4K	31
31/07/2025	0,00%	0,00	0,04	0,04	0,03	0,05	6K	25
30/07/2025	-20,00%	-0,01	0,04	0,05	0,04	0,05	11K	43
29/07/2025	25,00%	0,01	0,05	0,04	0,04	0,06	69K	172
28/07/2025	0,00%	0,00	0,04	0,05	0,04	0,05	5K	174
25/07/2025	-20,00%	-0,01	0,04	0,05	0,04	0,05	10K	17
24/07/2025	0,00%	0,00	0,05	0,05	0,05	0,05	5K	15
23/07/2025	66,67%	0,02	0,05	0,03	0,03	0,05	10K	23
22/07/2025	0,00%	0,00	0,03	0,03	0,03	0,05	10K	32
21/07/2025	-50,00%	-0,03	0,03	0,05	0,03	0,05	2K	25
18/07/2025	50,00%	0,02	0,06	0,04	0,03	0,06	364K	91
17/07/2025	-42,86%	-0,03	0,04	0,06	0,04	0,06	13K	55
16/07/2025	-12,50%	-0,01	0,07	0,08	0,06	0,08	7K	53
15/07/2025	-20,00%	-0,02	0,08	0,09	0,08	0,09	36K	54
14/07/2025	-23,08%	-0,03	0,10	0,14	0,09	0,14	25K	78
11/07/2025	30,00%	0,03	0,13	0,09	0,09	0,15	26K	37
10/07/2025	11,11%	0,01	0,10	0,09	0,07	0,12	29K	58
09/07/2025	-18,18%	-0,02	0,09	0,10	0,09	0,10	7K	33
08/07/2025	10,00%	0,01	0,11	0,11	0,11	0,12	19K	26
07/07/2025	-9,09%	-0,01	0,10	0,12	0,10	0,12	28K	128
04/07/2025	-15,38%	-0,02	0,11	0,12	0,11	0,14	4K	14
03/07/2025	-13,33%	-0,02	0,13	0,15	0,13	0,16	11K	22
02/07/2025	15,38%	0,02	0,15	0,14	0,13	0,15	174K	107
01/07/2025	-18,75%	-0,03	0,13	0,14	0,13	0,14	8K	7
27/06/2025	-5,88%	-0,01	0,16	0,16	0,15	0,16	2K	8
26/06/2025	-5,56%	-0,01	0,17	0,18	0,17	0,19	1K	8
25/06/2025	-10,00%	-0,02	0,18	0,20	0,18	0,20	11K	28
24/06/2025	-41,18%	-0,14	0,20	0,32	0,20	0,32	18K	29
23/06/2025	-33,33%	-0,17	0,34	0,53	0,32	0,62	64K	36
20/06/2025	4,08%	0,02	0,51	0,55	0,49	0,55	27K	17
18/06/2025	-14,04%	-0,08	0,49	0,58	0,48	0,63	44K	17
17/06/2025	42,50%	0,17	0,57	0,45	0,45	0,58	51K	25
16/06/2025	-21,57%	-0,11	0,40	0,41	0,37	0,53	14K	15
13/06/2025	54,55%	0,18	0,51	0,57	0,40	0,63	86K	76
12/06/2025	43,48%	0,10	0,33	0,22	0,22	0,33	9K	23
11/06/2025	76,92%	0,10	0,23	0,22	0,22	0,23	482	2
10/06/2025	8,33%	0,01	0,13	0,13	0,13	0,13	715	1
06/06/2025	9,09%	0,01	0,12	0,05	0,05	0,12	2K	5
04/06/2025	-38,89%	-0,07	0,11	0,11	0,11	0,11	220	1
02/06/2025	0,00%	0,00	0,18	0,18	0,18	0,18	36	1
30/05/2025	-5,26%	-0,01	0,18	0,35	0,18	0,35	53	2
29/05/2025	-9,52%	-0,02	0,19	0,18	0,18	0,19	56	3
28/05/2025	-8,70%	-0,02	0,21	0,14	0,14	0,21	357	5
27/05/2025	-17,86%	-0,05	0,23	0,27	0,23	0,27	425	3
26/05/2025	16,67%	0,04	0,28	0,23	0,23	0,28	12K	3
23/05/2025	-11,11%	-0,03	0,24	0,24	0,24	0,24	7K	1
22/05/2025	-12,90%	-0,04	0,27	0,46	0,18	0,46	2K	5
21/05/2025	6,90%	0,02	0,31	0,59	0,31	0,59	2K	3
19/05/2025	-25,64%	-0,10	0,29	0,30	0,29	0,30	3K	2
16/05/2025	-	-	0,39	0,39	0,39	0,39	6K	1
