Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
19/09/2025	-17,55%	-0,43	2,02	2,44	1,99	2,44	41K	17
18/09/2025	-9,93%	-0,27	2,45	2,55	2,26	2,64	1M	195
17/09/2025	3,03%	0,08	2,72	2,65	2,56	2,80	492K	81
16/09/2025	3,12%	0,08	2,64	2,65	2,54	2,69	143K	39
15/09/2025	9,40%	0,22	2,56	2,39	2,21	2,62	155K	53
12/09/2025	-8,95%	-0,23	2,34	2,69	2,34	2,75	297K	30
11/09/2025	-4,46%	-0,12	2,57	2,54	2,46	2,60	262K	37
10/09/2025	22,27%	0,49	2,69	2,27	2,27	2,69	482K	1.204
09/09/2025	14,58%	0,28	2,20	2,05	2,04	2,30	61K	40
08/09/2025	2,13%	0,04	1,92	2,13	1,80	2,13	65K	30
05/09/2025	-24,80%	-0,62	1,88	2,15	1,60	2,15	94K	38
04/09/2025	5,04%	0,12	2,50	2,30	2,30	2,50	13K	5
03/09/2025	-11,52%	-0,31	2,38	2,37	2,28	2,47	164K	17
02/09/2025	8,91%	0,22	2,69	2,50	2,50	2,72	83K	8
01/09/2025	-1,20%	-0,03	2,47	2,61	2,47	2,62	66K	13
29/08/2025	5,04%	0,12	2,50	2,34	2,34	2,68	104K	40
28/08/2025	13,33%	0,28	2,38	2,35	2,27	2,50	83K	63
27/08/2025	8,81%	0,17	2,10	1,97	1,90	2,14	26K	20
26/08/2025	-11,87%	-0,26	1,93	1,95	1,80	2,05	112K	104
25/08/2025	15,26%	0,29	2,19	2,06	2,03	2,22	117K	44
22/08/2025	34,75%	0,49	1,90	1,49	1,49	1,99	522K	1.041
21/08/2025	1,44%	0,02	1,41	1,36	1,24	1,50	270K	271
20/08/2025	6,11%	0,08	1,39	1,40	1,35	1,50	548K	691
19/08/2025	-13,82%	-0,21	1,31	1,38	1,22	1,44	451K	643
18/08/2025	7,04%	0,10	1,52	1,50	1,41	1,69	234K	158
15/08/2025	-1,39%	-0,02	1,42	1,45	1,27	1,48	900K	258
14/08/2025	-21,31%	-0,39	1,44	1,71	1,44	1,72	477K	177
13/08/2025	-8,04%	-0,16	1,83	1,96	1,76	2,11	141K	52
12/08/2025	-4,78%	-0,10	1,99	2,19	1,96	2,40	264K	54
11/08/2025	0,97%	0,02	2,09	2,24	1,96	2,24	161K	46
08/08/2025	-45,81%	-1,75	2,07	3,00	2,04	3,00	277K	103
07/08/2025	9,46%	0,33	3,82	3,75	3,65	3,93	200K	83
06/08/2025	2,35%	0,08	3,49	3,77	3,40	3,98	142K	22
05/08/2025	0,89%	0,03	3,41	3,40	3,35	3,42	85K	5
04/08/2025	-0,88%	-0,03	3,38	3,37	3,25	3,38	66K	10
01/08/2025	-8,33%	-0,31	3,41	3,48	3,36	3,48	25K	6
31/07/2025	-3,12%	-0,12	3,72	3,77	3,72	3,83	16K	6
30/07/2025	3,78%	0,14	3,84	3,72	3,58	3,84	7K	11
29/07/2025	18,97%	0,59	3,70	3,35	3,35	3,79	45K	14
28/07/2025	-7,44%	-0,25	3,11	3,11	3,11	3,11	26K	1
25/07/2025	2,75%	0,09	3,36	3,31	3,31	3,38	18K	5
23/07/2025	16,37%	0,46	3,27	2,94	2,90	3,27	191K	74
22/07/2025	8,08%	0,21	2,81	2,72	2,72	2,97	312K	117
21/07/2025	-1,14%	-0,03	2,60	2,63	2,60	2,70	122K	5
18/07/2025	-19,08%	-0,62	2,63	2,91	2,31	3,04	329K	47
16/07/2025	-7,14%	-0,25	3,25	2,49	2,49	3,25	4K	6
15/07/2025	-23,08%	-1,05	3,50	3,50	3,50	3,50	1K	1
18/06/2025	-	-	4,55	4,49	4,49	4,55	21K	3
