Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
15/08/2025	-95,00%	-0,19	0,01	0,19	0,01	0,19	165K	587
14/08/2025	-57,45%	-0,27	0,20	0,38	0,16	0,38	1M	7.536
13/08/2025	-32,86%	-0,23	0,47	0,70	0,40	0,76	1M	1.786
12/08/2025	-12,50%	-0,10	0,70	0,87	0,67	1,15	1M	1.185
11/08/2025	-3,61%	-0,03	0,80	0,90	0,71	1,05	2M	1.427
08/08/2025	-67,19%	-1,70	0,83	1,57	0,80	1,92	2M	2.482
07/08/2025	7,20%	0,17	2,53	2,50	2,49	2,80	403K	67
06/08/2025	0,85%	0,02	2,36	2,58	2,28	2,84	217K	126
05/08/2025	6,85%	0,15	2,34	2,37	2,14	2,37	301K	309
04/08/2025	-1,35%	-0,03	2,19	2,18	2,09	2,28	89K	26
01/08/2025	-12,60%	-0,32	2,22	2,85	2,20	2,85	130K	54
31/07/2025	-8,30%	-0,23	2,54	2,56	2,54	2,72	280K	104
30/07/2025	8,20%	0,21	2,77	2,55	2,48	2,77	129K	62
29/07/2025	19,07%	0,41	2,56	2,17	2,17	2,67	626K	1.650
28/07/2025	-3,15%	-0,07	2,15	2,43	1,57	2,54	346K	124
25/07/2025	3,74%	0,08	2,22	2,26	2,14	2,27	71K	108
24/07/2025	-5,31%	-0,12	2,14	2,14	2,03	2,14	46K	28
23/07/2025	34,52%	0,58	2,26	1,69	1,68	2,28	331K	98
22/07/2025	12,00%	0,18	1,68	1,50	1,50	1,87	179K	70
21/07/2025	-2,60%	-0,04	1,50	1,39	1,32	1,67	680K	595
18/07/2025	-18,09%	-0,34	1,54	1,69	1,28	1,91	528K	217
17/07/2025	-11,74%	-0,25	1,88	2,01	1,84	2,09	635K	121
16/07/2025	-7,79%	-0,18	2,13	2,21	1,96	2,24	109K	62
15/07/2025	-9,41%	-0,24	2,31	2,68	2,25	2,68	267K	172
14/07/2025	-14,14%	-0,42	2,55	2,30	2,30	3,15	759K	69
11/07/2025	9,59%	0,26	2,97	2,90	2,89	3,00	202K	39
10/07/2025	0,74%	0,02	2,71	2,35	2,28	2,73	429K	144
09/07/2025	-7,24%	-0,21	2,69	2,89	2,53	2,89	148K	34
08/07/2025	15,08%	0,38	2,90	2,64	2,64	2,99	199K	26
07/07/2025	-3,45%	-0,09	2,52	2,68	2,49	2,69	135K	23
04/07/2025	-3,69%	-0,10	2,61	2,65	2,61	2,80	104K	19
03/07/2025	1,12%	0,03	2,71	2,74	2,71	2,84	69K	18
02/07/2025	17,54%	0,40	2,68	2,40	2,25	2,80	103K	42
01/07/2025	3,64%	0,08	2,28	2,27	2,16	2,28	59K	28
27/06/2025	-8,33%	-0,20	2,20	2,25	2,13	2,25	55K	25
26/06/2025	4,80%	0,11	2,40	2,35	2,33	2,44	15K	26
25/06/2025	-3,38%	-0,08	2,29	2,35	2,27	2,36	58K	18
24/06/2025	-18,84%	-0,55	2,37	2,54	2,30	2,54	162K	36
23/06/2025	-21,51%	-0,80	2,92	4,01	2,84	4,06	464K	45
20/06/2025	2,76%	0,10	3,72	3,51	3,51	3,83	74K	16
18/06/2025	-5,73%	-0,22	3,62	3,92	3,47	3,92	214K	40
17/06/2025	18,15%	0,59	3,84	3,50	3,50	3,84	89K	33
16/06/2025	-9,22%	-0,33	3,25	3,65	3,20	3,65	71K	14
13/06/2025	25,61%	0,73	3,58	3,92	3,26	3,92	386K	53
12/06/2025	20,25%	0,48	2,85	1,95	1,95	2,93	92K	39
11/06/2025	36,99%	0,64	2,37	2,05	1,92	2,60	47K	23
10/06/2025	29,10%	0,39	1,73	1,38	1,38	2,03	55K	32
09/06/2025	-9,46%	-0,14	1,34	1,13	1,01	1,34	10K	20
06/06/2025	8,03%	0,11	1,48	1,38	1,33	1,54	49K	18
05/06/2025	-1,44%	-0,02	1,37	1,40	1,25	1,45	54K	9
04/06/2025	-27,98%	-0,54	1,39	1,93	1,39	1,95	114K	18
03/06/2025	0,00%	0,00	1,93	1,70	1,50	1,93	49K	17
02/06/2025	-2,03%	-0,04	1,93	2,22	1,93	2,22	25K	14
30/05/2025	-6,19%	-0,13	1,97	2,15	1,94	2,15	27K	8
29/05/2025	-23,36%	-0,64	2,10	2,08	2,07	2,10	83K	44
26/05/2025	-0,72%	-0,02	2,74	2,74	2,74	2,74	274	1
21/05/2025	-8,00%	-0,24	2,76	2,70	2,65	2,76	6K	6
13/05/2025	-	-	3,00	3,00	3,00	3,00	300	1
