Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
15/08/2025	0,00%	0,00	0,01	0,01	0,01	0,01	90	12
14/08/2025	0,00%	0,00	0,01	0,01	0,01	0,02	37K	2.856
13/08/2025	-75,00%	-0,03	0,01	0,03	0,01	0,04	210K	682
12/08/2025	-20,00%	-0,01	0,04	0,06	0,03	0,10	402K	818
11/08/2025	-64,29%	-0,09	0,05	0,11	0,05	0,16	516K	1.100
08/08/2025	-86,14%	-0,87	0,14	0,83	0,13	0,83	3M	9.151
07/08/2025	9,78%	0,09	1,01	1,04	0,95	1,25	2M	1.176
06/08/2025	6,98%	0,06	0,92	1,06	0,84	1,30	4M	2.828
05/08/2025	4,88%	0,04	0,86	0,78	0,74	0,92	1M	721
04/08/2025	-6,82%	-0,06	0,82	0,85	0,75	0,90	1M	606
01/08/2025	-22,81%	-0,26	0,88	1,30	0,85	1,36	1M	926
31/07/2025	-14,29%	-0,19	1,14	1,20	1,07	1,25	966K	472
30/07/2025	13,68%	0,16	1,33	1,11	1,01	1,33	1M	700
29/07/2025	30,00%	0,27	1,17	0,98	0,89	1,22	2M	2.423
28/07/2025	2,27%	0,02	0,90	0,88	0,77	1,14	2M	3.746
25/07/2025	0,00%	0,00	0,88	0,94	0,85	0,99	1M	2.045
24/07/2025	-7,37%	-0,07	0,88	0,89	0,76	0,95	1M	725
23/07/2025	61,02%	0,36	0,95	0,62	0,61	0,96	3M	1.715
22/07/2025	13,46%	0,07	0,59	0,55	0,51	0,75	1M	1.061
21/07/2025	4,00%	0,02	0,52	0,49	0,45	0,62	753K	490
18/07/2025	-34,21%	-0,26	0,50	0,71	0,44	0,79	1M	926
17/07/2025	-18,28%	-0,17	0,76	0,81	0,73	0,92	1M	1.149
16/07/2025	-14,68%	-0,16	0,93	0,94	0,83	1,00	542K	399
15/07/2025	-13,49%	-0,17	1,09	1,28	1,05	1,31	477K	315
14/07/2025	-18,71%	-0,29	1,26	1,60	1,25	1,63	378K	215
11/07/2025	14,81%	0,20	1,55	1,32	1,32	1,62	511K	334
10/07/2025	0,00%	0,00	1,35	1,25	1,08	1,44	414K	137
09/07/2025	-12,34%	-0,19	1,35	1,49	1,30	1,50	419K	75
08/07/2025	22,22%	0,28	1,54	1,38	1,38	1,61	201K	84
07/07/2025	-7,35%	-0,10	1,26	1,42	1,24	1,43	255K	84
04/07/2025	-6,21%	-0,09	1,36	1,36	1,36	1,52	176K	61
03/07/2025	2,84%	0,04	1,45	1,41	1,35	1,59	265K	107
02/07/2025	21,55%	0,25	1,41	1,19	1,16	1,52	396K	264
01/07/2025	2,65%	0,03	1,16	1,14	1,07	1,18	483K	141
27/06/2025	-10,32%	-0,13	1,13	1,18	1,12	1,18	52K	28
26/06/2025	7,69%	0,09	1,26	1,22	1,21	1,31	39K	20
25/06/2025	-8,59%	-0,11	1,17	1,34	1,17	1,34	148K	53
24/06/2025	-24,71%	-0,42	1,28	1,45	1,25	1,53	395K	606
23/06/2025	-29,75%	-0,72	1,70	2,61	1,66	2,61	369K	118
20/06/2025	4,31%	0,10	2,42	2,49	2,31	2,49	30K	6
18/06/2025	-6,07%	-0,15	2,32	2,48	2,23	2,54	26K	13
17/06/2025	24,12%	0,48	2,47	2,28	2,24	2,54	127K	24
16/06/2025	-10,76%	-0,24	1,99	2,40	1,99	2,40	81K	16
13/06/2025	23,89%	0,43	2,23	2,50	2,01	2,50	373K	53
12/06/2025	52,54%	0,62	1,80	1,53	1,49	1,80	27K	20
11/06/2025	45,68%	0,37	1,18	1,02	0,81	1,18	11K	12
10/06/2025	42,11%	0,24	0,81	0,89	0,71	0,89	3K	10
09/06/2025	-18,57%	-0,13	0,57	0,57	0,57	0,57	11K	1
06/06/2025	1,45%	0,01	0,70	0,95	0,55	0,95	3K	9
05/06/2025	-2,82%	-0,02	0,69	0,73	0,59	0,73	3K	9
04/06/2025	-23,66%	-0,22	0,71	0,71	0,71	0,71	3K	1
03/06/2025	-7,00%	-0,07	0,93	0,88	0,81	0,93	13K	9
02/06/2025	-4,76%	-0,05	1,00	0,99	0,99	1,06	23K	7
30/05/2025	-6,25%	-0,07	1,05	1,01	0,99	1,06	22K	7
29/05/2025	-13,18%	-0,17	1,12	1,09	0,95	1,30	20K	7
28/05/2025	3,20%	0,04	1,29	1,25	1,25	1,29	14K	2
27/05/2025	1,63%	0,02	1,25	1,25	1,25	1,25	500	1
26/05/2025	-3,91%	-0,05	1,23	1,25	1,23	1,25	2K	4
23/05/2025	0,79%	0,01	1,28	1,26	1,26	1,28	12K	3
22/05/2025	-22,56%	-0,37	1,27	1,28	1,27	1,28	18K	3
21/05/2025	2,50%	0,04	1,64	1,64	1,64	1,64	2K	3
20/05/2025	0,00%	0,00	1,60	1,71	1,60	1,71	4K	2
19/05/2025	5,96%	0,09	1,60	1,70	1,60	1,70	8K	4
16/05/2025	-6,21%	-0,10	1,51	1,51	1,51	1,51	2K	1
15/05/2025	-6,40%	-0,11	1,61	1,56	1,56	1,61	6K	2
14/05/2025	-5,49%	-0,10	1,72	1,72	1,72	1,72	2K	1
13/05/2025	-3,70%	-0,07	1,82	1,60	1,60	1,82	13K	4
12/05/2025	40,00%	0,54	1,89	1,79	1,79	1,89	26K	4
09/05/2025	19,47%	0,22	1,35	1,43	1,35	1,43	5K	2
07/05/2025	2,73%	0,03	1,13	1,10	1,05	1,13	13K	3
06/05/2025	-14,73%	-0,19	1,10	1,16	1,10	1,16	26K	3
05/05/2025	-7,86%	-0,11	1,29	1,29	1,29	1,29	9K	1
02/05/2025	38,61%	0,39	1,40	1,40	1,40	1,40	3K	2
30/04/2025	-28,87%	-0,41	1,01	1,22	1,00	1,23	21K	6
29/04/2025	4,41%	0,06	1,42	1,42	1,42	1,42	852	3
28/04/2025	-12,82%	-0,20	1,36	1,51	1,36	1,51	33K	3
25/04/2025	-16,13%	-0,30	1,56	1,56	1,56	1,56	4K	1
23/04/2025	2,76%	0,05	1,86	1,86	1,86	1,86	7K	1
17/04/2025	-19,56%	-0,44	1,81	1,81	1,81	1,81	8K	1
15/04/2025	-	-	2,25	2,25	2,25	2,25	4K	1
