Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
15/08/2025	0,00%	0,00	0,01	0,01	0,01	0,01	40	4
14/08/2025	0,00%	0,00	0,01	0,01	0,01	0,01	970	37
13/08/2025	0,00%	0,00	0,01	0,01	0,01	0,01	2K	27
12/08/2025	0,00%	0,00	0,01	0,01	0,01	0,01	151	9
11/08/2025	-50,00%	-0,01	0,01	0,01	0,01	0,01	1K	20
08/08/2025	-60,00%	-0,03	0,02	0,04	0,01	0,04	29K	538
07/08/2025	0,00%	0,00	0,05	0,06	0,05	0,08	52K	145
06/08/2025	25,00%	0,01	0,05	0,05	0,05	0,07	58K	229
05/08/2025	-20,00%	-0,01	0,04	0,04	0,04	0,05	22K	280
04/08/2025	-28,57%	-0,02	0,05	0,07	0,04	0,07	27K	100
01/08/2025	0,00%	0,00	0,07	0,07	0,06	0,10	19K	104
31/07/2025	-12,50%	-0,01	0,07	0,08	0,07	0,09	21K	95
30/07/2025	-20,00%	-0,02	0,08	0,10	0,08	0,11	56K	87
29/07/2025	42,86%	0,03	0,10	0,08	0,07	0,11	32K	130
28/07/2025	0,00%	0,00	0,07	0,06	0,06	0,10	31K	242
25/07/2025	-12,50%	-0,01	0,07	0,08	0,07	0,08	21K	932
24/07/2025	0,00%	0,00	0,08	0,08	0,07	0,09	30K	65
23/07/2025	33,33%	0,02	0,08	0,06	0,06	0,09	137K	1.778
22/07/2025	0,00%	0,00	0,06	0,06	0,05	0,08	15K	72
21/07/2025	-25,00%	-0,02	0,06	0,07	0,05	0,08	176K	102
18/07/2025	14,29%	0,01	0,08	0,07	0,05	0,09	48K	177
17/07/2025	-41,67%	-0,05	0,07	0,12	0,07	0,12	33K	65
16/07/2025	-7,69%	-0,01	0,12	0,13	0,10	0,13	48K	145
15/07/2025	-23,53%	-0,04	0,13	0,17	0,13	0,18	50K	116
14/07/2025	-26,09%	-0,06	0,17	0,25	0,16	0,25	84K	80
11/07/2025	21,05%	0,04	0,23	0,20	0,20	0,27	152K	150
10/07/2025	0,00%	0,00	0,19	0,15	0,13	0,21	76K	77
09/07/2025	-9,52%	-0,02	0,19	0,23	0,17	0,23	41K	61
08/07/2025	16,67%	0,03	0,21	0,20	0,20	0,25	71K	104
07/07/2025	-10,00%	-0,02	0,18	0,21	0,17	0,22	75K	164
04/07/2025	-20,00%	-0,05	0,20	0,24	0,20	0,26	217K	187
03/07/2025	0,00%	0,00	0,25	0,25	0,24	0,30	121K	79
02/07/2025	13,64%	0,03	0,25	0,24	0,21	0,27	257K	246
01/07/2025	-12,00%	-0,03	0,22	0,23	0,21	0,24	17K	26
27/06/2025	-7,41%	-0,02	0,25	0,24	0,24	0,26	27K	22
26/06/2025	0,00%	0,00	0,27	0,28	0,27	0,30	5K	13
25/06/2025	-10,00%	-0,03	0,27	0,30	0,27	0,31	31K	74
24/06/2025	-40,00%	-0,20	0,30	0,38	0,30	0,38	73K	86
23/06/2025	-34,21%	-0,26	0,50	0,88	0,47	0,91	235K	131
20/06/2025	1,33%	0,01	0,76	0,68	0,68	0,81	116K	48
18/06/2025	-10,71%	-0,09	0,75	0,84	0,70	0,93	117K	71
17/06/2025	42,37%	0,25	0,84	0,66	0,66	0,85	66K	63
16/06/2025	-20,27%	-0,15	0,59	0,74	0,54	0,82	49K	30
13/06/2025	45,10%	0,23	0,74	1,00	0,61	1,00	227K	87
12/06/2025	45,71%	0,16	0,51	0,39	0,39	0,51	2K	9
11/06/2025	75,00%	0,15	0,35	0,18	0,18	0,40	3K	10
10/06/2025	25,00%	0,04	0,20	0,16	0,16	0,20	677	3
09/06/2025	-20,00%	-0,04	0,16	0,15	0,14	0,16	945	4
06/06/2025	25,00%	0,04	0,20	0,20	0,20	0,20	600	1
05/06/2025	-15,79%	-0,03	0,16	0,16	0,16	0,16	1K	1
04/06/2025	-20,83%	-0,05	0,19	0,26	0,19	0,27	8K	15
03/06/2025	-20,00%	-0,06	0,24	0,24	0,24	0,24	120	1
02/06/2025	25,00%	0,06	0,30	0,32	0,30	0,32	620	2
30/05/2025	-14,29%	-0,04	0,24	0,24	0,24	0,24	240	2
29/05/2025	-20,00%	-0,07	0,28	0,29	0,28	0,30	116	4
23/05/2025	-44,44%	-0,28	0,35	0,36	0,35	0,36	71	2
21/05/2025	-1,56%	-0,01	0,63	0,63	0,63	0,63	630	1
19/05/2025	-	-	0,64	0,64	0,64	0,64	6K	1
