Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
16/05/2025	3,16%	0,06	1,96	1,89	1,67	2,01	784K	90
15/05/2025	-5,94%	-0,12	1,90	1,80	1,67	2,08	636K	302
14/05/2025	-10,22%	-0,23	2,02	2,06	1,78	2,17	721K	175
13/05/2025	8,70%	0,18	2,25	1,86	1,50	2,27	752K	186
12/05/2025	58,02%	0,76	2,07	1,51	1,51	2,31	1M	1.342
09/05/2025	8,26%	0,10	1,31	1,40	1,12	1,45	2M	1.427
08/05/2025	42,35%	0,36	1,21	0,91	0,91	1,35	3M	2.344
07/05/2025	0,00%	0,00	0,85	0,87	0,72	0,92	3M	2.215
06/05/2025	25,00%	0,17	0,85	0,84	0,80	1,02	5M	2.810
05/05/2025	-49,25%	-0,66	0,68	1,17	0,68	1,20	4M	2.987
02/05/2025	39,58%	0,38	1,34	1,10	0,92	1,36	4M	2.103
30/04/2025	-25,58%	-0,33	0,96	1,40	0,94	1,40	5M	2.479
29/04/2025	0,78%	0,01	1,29	1,21	1,12	1,48	3M	1.351
28/04/2025	-11,11%	-0,16	1,28	1,41	1,21	1,53	1M	942
25/04/2025	-4,64%	-0,07	1,44	1,42	1,34	1,60	419K	506
24/04/2025	-3,21%	-0,05	1,51	1,42	1,31	1,64	1M	542
23/04/2025	-14,29%	-0,26	1,56	2,05	1,56	2,34	285K	146
22/04/2025	1,11%	0,02	1,82	1,58	1,48	1,95	270K	66
17/04/2025	22,45%	0,33	1,80	1,65	1,60	2,01	764K	149
16/04/2025	-8,12%	-0,13	1,47	1,70	1,45	1,72	688K	227
15/04/2025	-24,53%	-0,52	1,60	2,01	1,55	2,06	390K	105
14/04/2025	-16,54%	-0,42	2,12	2,90	2,09	2,92	1M	76
11/04/2025	9,48%	0,22	2,54	2,05	1,89	2,73	436K	93
10/04/2025	-34,46%	-1,22	2,32	2,20	2,20	2,80	187K	30
09/04/2025	35,11%	0,92	3,54	2,29	2,23	3,54	178K	59
08/04/2025	-25,99%	-0,92	2,62	3,82	2,62	3,82	206K	46
07/04/2025	-19,91%	-0,88	3,54	3,76	3,49	3,92	288K	27
04/04/2025	-24,32%	-1,42	4,42	4,29	3,98	4,42	59K	11
03/04/2025	-15,48%	-1,07	5,84	5,88	5,84	5,88	53K	2
02/04/2025	-3,63%	-0,26	6,91	6,88	6,88	6,91	32K	2
01/04/2025	0,14%	0,01	7,17	7,23	7,17	7,23	40K	2
31/03/2025	-5,42%	-0,41	7,16	7,16	7,16	7,16	36K	1
27/03/2025	5,87%	0,42	7,57	7,55	7,55	7,60	156K	4
26/03/2025	-0,14%	-0,01	7,15	7,15	7,15	7,15	2K	1
25/03/2025	35,61%	1,88	7,16	6,63	6,63	7,16	143K	3
14/03/2025	16,04%	0,73	5,28	5,23	5,23	5,28	6K	2
10/03/2025	-	-	4,55	4,55	4,55	4,55	30K	1
