Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
15/08/2025	-60,38%	-0,32	0,21	0,49	0,19	0,52	141K	1.543
14/08/2025	-41,76%	-0,38	0,53	0,85	0,44	0,85	856K	2.664
13/08/2025	-20,87%	-0,24	0,91	1,08	0,81	1,20	116K	180
12/08/2025	-4,96%	-0,06	1,15	1,30	1,10	1,61	206K	435
11/08/2025	1,68%	0,02	1,21	1,35	1,09	1,42	292K	769
08/08/2025	-61,74%	-1,92	1,19	2,16	1,19	2,27	553K	491
07/08/2025	14,34%	0,39	3,11	3,01	3,01	3,26	123K	18
06/08/2025	0,00%	0,00	2,72	3,12	2,72	3,31	232K	55
05/08/2025	4,21%	0,11	2,72	2,71	2,61	2,78	124K	25
04/08/2025	-2,61%	-0,07	2,61	2,63	2,55	2,66	75K	10
01/08/2025	-11,55%	-0,35	2,68	3,29	2,67	3,29	47K	11
31/07/2025	-7,90%	-0,26	3,03	3,06	3,03	3,18	45K	11
30/07/2025	8,58%	0,26	3,29	2,93	2,93	3,32	106K	41
29/07/2025	16,09%	0,42	3,03	2,48	2,48	3,12	160K	149
28/07/2025	-2,61%	-0,07	2,61	2,77	2,43	3,01	69K	107
25/07/2025	3,08%	0,08	2,68	2,76	2,61	2,76	40K	40
24/07/2025	-3,70%	-0,10	2,60	2,54	2,43	2,60	7K	6
23/07/2025	29,19%	0,61	2,70	2,28	2,28	2,70	371K	203
22/07/2025	11,17%	0,21	2,09	1,98	1,98	2,25	109K	38
21/07/2025	-1,05%	-0,02	1,88	1,75	1,70	2,06	281K	289
18/07/2025	-16,67%	-0,38	1,90	1,69	1,61	2,36	738K	148
17/07/2025	-10,59%	-0,27	2,28	2,40	2,26	2,49	368K	47
16/07/2025	-9,25%	-0,26	2,55	2,68	2,37	2,68	203K	139
15/07/2025	-8,47%	-0,26	2,81	2,50	2,50	3,13	344K	80
14/07/2025	-9,71%	-0,33	3,07	2,85	2,85	3,52	158K	28
11/07/2025	11,11%	0,34	3,40	3,32	3,32	3,45	34K	15
10/07/2025	-2,24%	-0,07	3,06	3,13	3,06	3,18	22K	5
09/07/2025	-5,44%	-0,18	3,13	3,25	3,01	3,25	26K	13
08/07/2025	12,97%	0,38	3,31	3,16	3,16	3,39	76K	14
07/07/2025	-5,48%	-0,17	2,93	2,60	2,50	3,40	30K	28
04/07/2025	-2,52%	-0,08	3,10	3,05	3,01	3,16	249K	18
03/07/2025	3,92%	0,12	3,18	3,03	3,03	3,20	14K	5
02/07/2025	14,61%	0,39	3,06	2,79	2,65	3,24	181K	20
01/07/2025	5,12%	0,13	2,67	2,61	2,54	2,68	97K	170
27/06/2025	-6,27%	-0,17	2,54	2,72	2,54	2,72	159K	16
26/06/2025	3,04%	0,08	2,71	2,72	2,71	2,78	30K	72
25/06/2025	-2,59%	-0,07	2,63	2,70	2,63	2,77	19K	14
24/06/2025	-17,93%	-0,59	2,70	2,87	2,66	2,95	124K	349
23/06/2025	-20,72%	-0,86	3,29	4,40	3,26	4,40	172K	111
20/06/2025	1,22%	0,05	4,15	4,24	4,09	4,25	196K	258
18/06/2025	-1,68%	-0,07	4,10	4,10	4,10	4,10	4K	1
17/06/2025	11,20%	0,42	4,17	3,99	3,99	4,17	5K	3
16/06/2025	-5,78%	-0,23	3,75	3,98	3,50	3,98	92K	9
13/06/2025	26,35%	0,83	3,98	4,00	3,66	4,19	711K	548
12/06/2025	18,87%	0,50	3,15	2,95	2,95	3,15	55K	6
11/06/2025	34,52%	0,68	2,65	2,65	2,65	2,65	10K	3
10/06/2025	40,71%	0,57	1,97	1,52	1,52	2,03	13K	15
09/06/2025	-22,22%	-0,40	1,40	1,41	1,40	1,41	281	2
06/06/2025	10,43%	0,17	1,80	1,77	1,77	1,80	6K	3
05/06/2025	0,00%	0,00	1,63	1,73	1,60	1,73	55K	10
04/06/2025	-24,54%	-0,53	1,63	1,67	1,63	1,87	64K	18
03/06/2025	-10,74%	-0,26	2,16	2,18	2,16	2,18	434	2
02/06/2025	5,22%	0,12	2,42	2,42	2,42	2,42	12K	1
30/05/2025	-6,12%	-0,15	2,30	2,30	2,30	2,30	14K	2
29/05/2025	-3,16%	-0,08	2,45	2,42	2,42	2,45	10K	2
23/05/2025	-6,30%	-0,17	2,53	2,58	2,53	2,58	6K	6
22/05/2025	-6,90%	-0,20	2,70	2,70	2,70	2,70	3K	1
21/05/2025	-6,45%	-0,20	2,90	2,90	2,90	2,90	3K	1
20/05/2025	-6,06%	-0,20	3,10	3,10	3,10	3,10	3K	2
13/05/2025	24,53%	0,65	3,30	3,30	3,30	3,30	3K	1
09/05/2025	1,92%	0,05	2,65	2,55	2,55	2,65	4K	2
08/05/2025	18,18%	0,40	2,60	2,60	2,60	2,60	3K	1
07/05/2025	-	-	2,20	2,20	2,20	2,20	7K	2
