Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
16/05/2025	2,38%	0,01	0,43	0,38	0,22	0,64	2M	1.417
15/05/2025	-35,38%	-0,23	0,42	0,51	0,37	0,65	2M	4.243
14/05/2025	-19,75%	-0,16	0,65	0,63	0,46	0,76	1M	1.811
13/05/2025	-1,22%	-0,01	0,81	0,86	0,38	0,86	2M	3.200
12/05/2025	78,26%	0,36	0,82	0,60	0,60	1,10	4M	3.042
09/05/2025	31,43%	0,11	0,46	0,43	0,35	0,49	2M	1.136
08/05/2025	40,00%	0,10	0,35	0,32	0,30	0,45	3M	791
07/05/2025	-7,41%	-0,02	0,25	0,27	0,20	0,29	230K	329
06/05/2025	22,73%	0,05	0,27	0,28	0,23	0,32	474K	429
05/05/2025	-56,86%	-0,29	0,22	0,42	0,21	0,42	1M	1.094
02/05/2025	45,71%	0,16	0,51	0,40	0,32	0,51	1M	615
30/04/2025	-25,53%	-0,12	0,35	0,45	0,32	0,46	1M	1.127
29/04/2025	-7,84%	-0,04	0,47	0,47	0,43	0,62	2M	1.333
28/04/2025	-17,74%	-0,11	0,51	0,62	0,49	0,70	1M	760
25/04/2025	-8,82%	-0,06	0,62	0,62	0,61	0,74	2M	586
24/04/2025	-15,00%	-0,12	0,68	0,94	0,60	0,94	2M	878
23/04/2025	-11,11%	-0,10	0,80	0,98	0,74	1,30	4M	1.697
22/04/2025	2,27%	0,02	0,90	0,88	0,69	0,99	1M	471
17/04/2025	15,79%	0,12	0,88	0,87	0,77	1,06	1M	504
16/04/2025	-5,00%	-0,04	0,76	0,88	0,68	0,90	4M	524
15/04/2025	-37,98%	-0,49	0,80	1,15	0,78	1,18	1M	405
14/04/2025	-17,31%	-0,27	1,29	1,78	1,13	2,00	2M	477
11/04/2025	13,87%	0,19	1,56	1,37	1,10	1,78	5M	896
10/04/2025	-43,39%	-1,05	1,37	2,00	1,32	2,19	1M	296
09/04/2025	43,20%	0,73	2,42	1,30	1,30	2,46	648K	247
08/04/2025	-32,40%	-0,81	1,69	2,85	1,61	2,85	1M	182
07/04/2025	-22,84%	-0,74	2,50	3,00	1,90	3,24	953K	141
04/04/2025	-26,20%	-1,15	3,24	3,22	2,71	3,28	916K	166
03/04/2025	-19,89%	-1,09	4,39	4,44	4,34	4,48	382K	22
02/04/2025	-7,90%	-0,47	5,48	5,44	5,44	5,48	738K	17
01/04/2025	2,76%	0,16	5,95	5,82	5,79	5,95	157K	5
31/03/2025	4,51%	0,25	5,79	5,57	5,57	5,79	21K	2
28/03/2025	-6,89%	-0,41	5,54	5,54	5,54	5,54	1K	1
27/03/2025	6,82%	0,38	5,95	6,18	5,95	6,18	4M	26
25/03/2025	8,79%	0,45	5,57	5,28	5,27	5,74	2M	28
24/03/2025	-5,19%	-0,28	5,12	5,28	5,06	5,38	2M	22
21/03/2025	14,89%	0,70	5,40	5,12	5,08	5,40	119K	8
20/03/2025	-0,42%	-0,02	4,70	4,62	4,62	4,70	24K	2
18/03/2025	19,49%	0,77	4,72	4,75	4,72	4,75	9K	3
14/03/2025	-	-	3,95	3,95	3,95	3,95	4K	1
