Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
19/09/2025	-17,73%	-0,39	1,81	2,09	1,73	2,09	79K	117
18/09/2025	-10,20%	-0,25	2,20	2,50	1,98	2,55	228K	227
17/09/2025	1,66%	0,04	2,45	2,43	2,34	2,55	191K	55
16/09/2025	2,99%	0,07	2,41	2,32	2,32	2,48	281K	50
15/09/2025	12,50%	0,26	2,34	2,18	1,95	2,37	110K	155
12/09/2025	-6,73%	-0,15	2,08	2,42	2,05	2,50	280K	187
11/09/2025	-7,08%	-0,17	2,23	2,27	2,20	2,34	274K	40
10/09/2025	21,83%	0,43	2,40	1,90	1,90	2,42	245K	512
09/09/2025	15,20%	0,26	1,97	1,75	1,75	2,09	176K	400
08/09/2025	6,88%	0,11	1,71	1,75	1,60	1,95	153K	45
05/09/2025	-25,93%	-0,56	1,60	1,95	1,39	1,97	409K	126
04/09/2025	0,47%	0,01	2,16	2,05	2,05	2,31	124K	29
03/09/2025	-11,16%	-0,27	2,15	2,20	2,09	2,35	242K	89
02/09/2025	6,14%	0,14	2,42	2,19	2,19	2,49	123K	33
01/09/2025	1,79%	0,04	2,28	2,31	2,20	2,39	111K	65
29/08/2025	4,19%	0,09	2,24	2,32	2,21	2,44	297K	66
28/08/2025	16,85%	0,31	2,15	1,95	1,95	2,27	155K	71
27/08/2025	5,75%	0,10	1,84	1,74	1,68	1,91	958K	723
26/08/2025	-11,68%	-0,23	1,74	1,85	1,60	1,88	360K	83
25/08/2025	15,88%	0,27	1,97	1,74	1,74	2,05	622K	173
22/08/2025	38,21%	0,47	1,70	1,30	1,23	1,78	2M	2.034
21/08/2025	0,00%	0,00	1,23	1,17	1,07	1,32	2M	882
20/08/2025	8,85%	0,10	1,23	1,18	1,18	1,31	2M	605
19/08/2025	-16,30%	-0,22	1,13	1,24	1,06	1,26	1M	874
18/08/2025	9,76%	0,12	1,35	1,26	1,21	1,50	1M	621
15/08/2025	-10,87%	-0,15	1,23	1,37	1,11	1,37	2M	2.269
14/08/2025	-16,87%	-0,28	1,38	1,55	1,29	1,55	914K	611
13/08/2025	-7,26%	-0,13	1,66	1,85	1,57	1,85	248K	105
12/08/2025	-4,79%	-0,09	1,79	1,93	1,78	2,20	75K	126
11/08/2025	2,17%	0,04	1,88	2,01	1,80	2,03	298K	73
08/08/2025	-46,97%	-1,63	1,84	2,77	1,84	3,04	125K	219
07/08/2025	5,79%	0,19	3,47	3,68	3,47	3,69	52K	30
06/08/2025	1,23%	0,04	3,28	3,47	3,20	3,71	65K	14
05/08/2025	5,88%	0,18	3,24	3,11	3,11	3,24	635	2
04/08/2025	-2,86%	-0,09	3,06	3,11	3,00	3,20	38K	15
01/08/2025	-11,27%	-0,40	3,15	3,80	3,15	3,82	26K	17
31/07/2025	-3,27%	-0,12	3,55	3,58	3,55	3,58	3K	2
30/07/2025	6,07%	0,21	3,67	3,50	3,50	3,68	24K	11
29/07/2025	13,44%	0,41	3,46	3,27	3,27	3,55	260K	10
28/07/2025	-1,93%	-0,06	3,05	3,44	3,05	3,44	52K	3
25/07/2025	3,67%	0,11	3,11	3,13	3,08	3,14	10K	9
24/07/2025	-3,23%	-0,10	3,00	3,00	3,00	3,00	3K	1
23/07/2025	21,09%	0,54	3,10	2,61	2,61	3,10	274K	112
22/07/2025	0,79%	0,02	2,56	2,63	2,55	2,79	36K	19
21/07/2025	19,25%	0,41	2,54	2,48	2,48	2,54	15K	3
18/07/2025	-24,20%	-0,68	2,13	2,81	2,13	2,84	30K	10
17/07/2025	-6,33%	-0,19	2,81	2,81	2,81	2,81	2K	1
16/07/2025	-35,21%	-1,63	3,00	2,85	2,85	3,00	14K	4
20/06/2025	6,44%	0,28	4,63	4,63	4,63	4,63	14K	1
18/06/2025	-3,33%	-0,15	4,35	4,34	4,34	4,35	869	2
16/06/2025	33,93%	1,14	4,50	4,50	4,50	4,50	450	1
12/06/2025	36,59%	0,90	3,36	3,30	3,30	3,36	10K	3
10/06/2025	7,89%	0,18	2,46	2,46	2,46	2,46	492	1
03/06/2025	-26,45%	-0,82	2,28	2,28	2,28	2,28	456	2
22/05/2025	-15,07%	-0,55	3,10	3,10	3,10	3,10	310	1
20/05/2025	0,00%	0,00	3,65	3,65	3,65	3,65	730	1
14/05/2025	2,53%	0,09	3,65	3,70	3,65	3,70	3K	4
02/05/2025	-	-	3,56	3,56	3,56	3,56	2K	1
